inventoryid,name,size,cost
LNI.TOP005-820-28,Nurse Practitioner without Tape (Size 28),28,43
LNI.TOP005-820-30,Nurse Practitioner without Tape (Size 30),30,43
HEA.PNT010-820-4,"Manuka Women's Pants, Navy, 4",4,34.4
HEA.PNT010-820-6,"Manuka Women's Pants, Navy, 6",6,34.4
HEA.PNT010-820-8,"Manuka Women's Pants, Navy, 8",8,34.4
HEA.PNT010-820-10,"Manuka Women's Pants, Navy, 10",10,34.4
HEA.PNT010-820-12,"Manuka Women's Pants, Navy, 12",12,34.4
HEA.PNT010-820-14,"Manuka Women's Pants, Navy, 14",14,34.4
HEA.PNT010-820-16,"Manuka Women's Pants, Navy, 16",16,34.4
HEA.PNT010-820-18,"Manuka Women's Pants, Navy, 18",18,34.4
HEA.PNT010-820-20,"Manuka Women's Pants, Navy, 20",20,34.4
HEA.PNT010-820-22,"Manuka Women's Pants, Navy, 22",22,34.4
HEA.PNT010-820-24,"Manuka Women's Pants, Navy, 24",24,34.4
HEA.PNT010-820-26,"Manuka Women's Pants, Navy, 26",26,34.4
HEA.PNT010-820-28,"Manuka Women's Pants, Navy, 28",28,34.4
HEA.PNT010-820-30,"Manuka Women's Pants, Navy, 30",30,34.4
HEA.PNT010-820-32,"Manuka Women's Pants, Navy, 32",32,34.4
HEA.SHO002-998-4,"Kanuka Women's Shorts, Black, 4",4,31.15
HEA.SHO002-998-6,"Kanuka Women's Shorts, Black, 6",6,31.15
HEA.SHO002-998-8,"Kanuka Women's Shorts, Black, 8",8,31.15
HEA.SHO002-998-10,"Kanuka Women's Shorts, Black, 10",10,31.15
HEA.SHO002-998-12,"Kanuka Women's Shorts, Black, 12",12,31.15
HEA.SHO002-998-14,"Kanuka Women's Shorts, Black, 14",14,31.15
HEA.SHO002-998-16,"Kanuka Women's Shorts, Black, 16",16,31.15
HEA.SHO002-998-18,"Kanuka Women's Shorts, Black, 18",18,31.15
HEA.SHO002-998-20,"Kanuka Women's Shorts, Black, 20",20,31.15
HEA.SHO002-998-22,"Kanuka Women's Shorts, Black, 22",22,31.15
HEA.SHO002-998-24,"Kanuka Women's Shorts, Black, 24",24,31.15
HEA.SHO002-998-26,"Kanuka Women's Shorts, Black, 26",26,31.15
HEA.SHO002-998-28,"Kanuka Women's Shorts, Black, 28",28,31.15
HEA.SHO002-998-30,"Kanuka Women's Shorts, Black, 30",30,31.15
HEA.SHO002-998-32,"Kanuka Women's Shorts, Black, 32",32,31.15
HEA.PNT010-998-4,"Manuka Women's Pants, Black, 4",4,34.4
HEA.PNT010-998-6,"Manuka Women's Pants, Black, 6",6,34.4
HEA.PNT010-998-8,"Manuka Women's Pants, Black, 8",8,34.4
HEA.PNT010-998-10,"Manuka Women's Pants, Black, 10",10,34.4
HEA.PNT010-998-12,"Manuka Women's Pants, Black, 12",12,34.4
HEA.PNT010-998-14,"Manuka Women's Pants, Black, 14",14,34.4
HEA.PNT010-998-16,"Manuka Women's Pants, Black, 16",16,34.4
HEA.PNT010-998-18,"Manuka Women's Pants, Black, 18",18,34.4
HEA.PNT010-998-20,"Manuka Women's Pants, Black, 20",20,34.4
HEA.PNT010-998-22,"Manuka Women's Pants, Black, 22",22,34.4
HEA.PNT010-998-24,"Manuka Women's Pants, Black, 24",24,34.4
HEA.PNT010-998-26,"Manuka Women's Pants, Black, 26",26,34.4
HEA.PNT010-998-28,"Manuka Women's Pants, Black, 28",28,34.4
HEA.PNT010-998-30,"Manuka Women's Pants, Black, 30",30,34.4
HEA.PNT010-998-32,"Manuka Women's Pants, Black, 32",32,34.4
HEA.PNT014-820-6,"Manuka Women's 3/4 Pants Navy, 6",6,35
HEA.PNT014-820-8,"Manuka Women's 3/4 Pants, Navy, 8",8,35
HEA.PNT014-820-10,"Manuka Women's 3/4 Pants Navy, 10",10,35
HEA.PNT014-820-12,"Manuka Women's 3/4 Pants Navy, 12",12,35
HEA.PNT014-820-14,"Manuka Women's 3/4 Pants Navy, 14",14,35
HEA.PNT014-820-16,"Manuka Women's 3/4 Pants Navy, 16",16,35
HEA.PNT014-820-18,"Manuka Women's 3/4 Pants Navy, 18",18,35
HEA.PNT014-820-20,"Manuka Women's 3/4 Pants, Navy, 20",20,35
HEA.PNT014-820-22,"Manuka Women's 3/4 Pants Navy, 22",22,35
HEA.PNT014-820-24,"Manuka Women's 3/4 Pants Navy, 24",24,35
HEA.PNT014-820-26,"Manuka Women's 3/4 Pants, Navy, 26",26,35
HEA.PNT014-820-28,"Manuka Women's 3/4 Pants Navy, 28",28,35
HEA.PNT014-820-30,"Manuka Women's 3/4 Pants Navy, 30",30,35
HEA.PNT014-820-32,"Manuka Women's 3/4 Pants, Navy, 32",32,35
HEA.SHO002-820-4,"Kanuka Women's Shorts, Navy, 4",4,31.15
HEA.SHO002-820-6,"Kanuka Women's Shorts, Navy,6",6,31.15
HEA.SHO002-820-8,"Kanuka Women's Shorts, Navy, 8",8,31.15
HEA.SHO002-820-10,"Kanuka Women's Shorts, Navy, 10",10,31.15
HEA.SHO002-820-12,"Kanuka Women's Shorts, Navy, 12",12,31.15
HEA.SHO002-820-14,"Kanuka Women's Shorts, Navy, 14",14,31.15
HEA.SHO002-820-16,"Kanuka Women's Shorts, Navy, 16",16,31.15
HEA.SHO002-820-18,"Kanuka Women's Shorts, Navy, 18",18,31.15
HEA.SHO002-820-20,"Kanuka Women's Shorts, Navy, 20",20,31.15
HEA.SHO002-820-22,"Kanuka Women's Shorts, Navy, 22",22,31.15
HEA.SHO002-820-24,"Kanuka Women's Shorts, Navy, 24",24,31.15
HEA.SHO002-820-26,"Kanuka Women's Shorts, Navy, 26",26,31.15
HEA.SHO002-820-28,"Kanuka Women's Shorts, Navy, 28",28,31.15
HEA.SHO002-820-30,"Kanuka Women's Shorts, Navy, 30",30,31.15
HEA.SHO002-820-32,"Kanuka Women's Shorts, Navy, 32",32,31.15
HEA.PNT014-998-6,"Manuka Women's 3/4  Pants, Black, 6",6,35
HEA.PNT014-998-8,"Manuka Women's 3/4  Pants, Black, 8",8,35
HEA.PNT014-998-10,"Manuka Women's 3/4  Pants, Black, 10",10,35
HEA.PNT014-998-12,"Manuka Women's 3/4  Pants, Black, 12",12,35
HEA.PNT014-998-14,"Manuka Women's 3/4  Pants, Black, 14",14,35
HEA.PNT014-998-16,"Manuka Women's 3/4  Pants, Black, 16",16,35
HEA.PNT014-998-18,"Manuka Women's 3/4  Pants, Black, 18",18,35
HEA.PNT014-998-20,"Manuka Women's 3/4  Pants, Black, 20",20,35
HEA.PNT014-998-22,"Manuka Women's 3/4  Pants, Black, 22",22,35
HEA.PNT014-998-24,"Manuka Women's 3/4  Pants, Black, 24",24,35
HEA.PNT014-998-26,"Manuka Women's 3/4  Pants, Black, 26",26,35
HEA.PNT014-998-28,"Manuka Women's 3/4  Pants, Black, 28",28,35
HEA.PNT014-998-30,"Manuka Women's 3/4  Pants, Black, 30",30,35
HEA.PNT014-998-32,"Manuka Women's 3/4  Pants, Black, 32",32,35
HEA.SKT004-820-6,"Hebe Elasticated A Line Skirt, Navy, 6",6,41.15
HEA.SKT004-820-8,"Hebe Elasticated A Line Skirt, Navy, 8",8,41.15
HEA.SKT004-820-10,"Hebe Elasticated A Line Skirt, Navy, 10",10,41.15
HEA.SKT004-820-12,"Hebe Elasticated A Line Skirt, Navy, 12",12,41.15
HEA.SKT004-820-14,"Hebe Elasticated A Line Skirt, Navy, 14",14,41.15
HEA.SKT004-820-16,"Hebe Elasticated A Line Skirt, Navy, 16",16,41.15
HEA.SKT004-820-18,"Hebe Elasticated A Line Skirt, Navy, 18",18,41.15
HEA.SKT004-820-20,"Hebe Elasticated A Line Skirt, Navy, 20",20,41.15
HEA.SKT004-820-22,"Hebe Elasticated A Line Skirt, Navy, 22",22,41.15
HEA.SKT004-820-24,"Hebe Elasticated A Line Skirt, Navy, 24",24,41.15
HEA.SKT004-820-26,"Hebe Elasticated A Line Skirt, Navy, 26",26,41.15
HEA.SKT004-820-28,"Hebe Elasticated A Line Skirt, Navy, 28",28,41.15
HEA.SKT004-820-30,"Hebe Elasticated A Line Skirt, Navy, 30",30,41.15
HEA.SKT004-820-32,"Hebe Elasticated A Line Skirt, Navy, 32",32,41.15
HEA.SKT004-998-6,"Hebe Elasticated A Line Skirt, Black, 6",6,41.15
HEA.SKT004-998-8,"Hebe Elasticated A Line Skirt, Black, 8",8,41.15
HEA.SKT004-998-10,"Hebe Elasticated A Line Skirt, Black, 10",10,41.15
HEA.SKT004-998-12,"Hebe Elasticated A Line Skirt, Black, 12",12,41.15
HEA.SKT004-998-14,"Hebe Elasticated A Line Skirt, Black, 14",14,41.15
HEA.SKT004-998-16,"Hebe Elasticated A Line Skirt, Black, 16",16,41.15
HEA.SKT004-998-18,"Hebe Elasticated A Line Skirt, Black, 18",18,41.15
HEA.SKT004-998-20,"Hebe Elasticated A Line Skirt, Black, 20",20,41.15
HEA.SKT004-998-22,"Hebe Elasticated A Line Skirt, Black, 22",22,41.15
HEA.SKT004-998-24,"Hebe Elasticated A Line Skirt, Black, 24",24,41.15
HEA.SKT004-998-26,"Hebe Elasticated A Line Skirt, Black, 26",26,41.15
HEA.SKT004-998-28,"Hebe Elasticated A Line Skirt, Black, 28",28,41.15
HEA.SKT004-998-30,"Hebe Elasticated A Line Skirt, Black, 30",30,41.15
HEA.SKT004-998-32,"Hebe Elasticated A Line Skirt, Black, 32",32,41.15
HEA.PNT011-820-2XS,"Kauri Unisex Pants, Navy, 2XS",2XS,42.5
HEA.PNT011-820-XS,"Kauri Unisex Pants, Navy, XS",XS,42.5
HEA.PNT011-820-S,"Kauri Unisex Pants, Navy, S",S,42.5
HEA.PNT011-820-M,"Kauri Unisex Pants, Navy, M",M,42.5
HEA.PNT011-820-L,"Kauri Unisex Pants, Navy, L",L,42.5
HEA.PNT011-820-XL,"Kauri Unisex Pants, Navy, XL",XL,42.5
HEA.PNT011-820-2XL,"Kauri Unisex Pants, Navy, 2XL",2XL,42.5
HEA.PNT011-820-3XL,"Kauri Unisex Pants, Navy, 3XL",3XL,42.5
HEA.PNT011-820-4XL,"Kauri Unisex Pants, Navy, 4XL",4XL,42.5
HEA.PNT011-820-5XL,"Kauri Unisex Pants, Navy, 5XL",5XL,42.5
HEA.PNT011-820-6XL,"Kauri Unisex Pants, Navy, 6XL",6XL,42.5
HEA.PNT011-820-7XL,"Kauri Unisex Pants, Navy, 7XL",7XL,42.5
HEA.PNT011-820-8XL,"Kauri Unisex Pants, Navy, 8XL",8XL,42.5
HEA.PNT011-998-2XS,"Kauri Unisex Pants, Black, 2XS",2XS,42.5
HEA.PNT011-998-XS,"Kauri Unisex Pants, Black, XS",XS,42.5
HEA.PNT011-998-S,"Kauri Unisex Pants, Black, S",S,42.5
HEA.PNT011-998-M,"Kauri Unisex Pants, Black, M",M,42.5
HEA.PNT011-998-L,"Kauri Unisex Pants, Black, L",L,42.5
HEA.PNT011-998-XL,"Kauri Unisex Pants, Black, XL",XL,42.5
HEA.PNT011-998-2XL,"Kauri Unisex Pants, Black, 2XL",2XL,42.5
HEA.PNT011-998-3XL,"Kauri Unisex Pants, Black, 3XL",3XL,42.5
HEA.PNT011-998-4XL,"Kauri Unisex Pants, Black, 4XL",4XL,42.5
HEA.PNT011-998-5XL,"Kauri Unisex Pants, Black, 5XL",5XL,42.5
HEA.PNT011-998-6XL,"Kauri Unisex Pants, Black, 6XL",6XL,42.5
HEA.PNT011-998-7XL,"Kauri Unisex Pants, Black, 7XL",7XL,42.5
HEA.PNT011-998-8XL,"Kauri Unisex Pants, Black, 8XL",8XL,42.5
HEA.SHO003-820-2XS,"Totara Mens Healthcatre Shorts, Navy, 2XS",2XS,43.43
HEA.SHO003-820-XS,"Totara Mens Healthcatre Shorts, Navy, XS",XS,43.43
HEA.SHO003-820-S,"Totara Mens Healthcatre Shorts, Navy, S",S,43.43
HEA.SHO003-820-M,"Totara Mens Healthcatre Shorts, Navy, M",M,43.43
HEA.SHO003-820-L,"Totara Mens Healthcatre Shorts, Navy,L",L,43.43
HEA.SHO003-820-XL,"Totara Mens Healthcatre Shorts, Navy, XL",XL,43.43
HEA.SHO003-820-2XL,"Totara Mens Healthcatre Shorts, Navy ,2XL",2XL,43.43
HEA.SHO003-820-3XL,"Totara Mens Healthcatre Shorts, Navy, 3XL",3XL,43.43
HEA.SHO003-820-4XL,"Totara Mens Healthcatre Shorts, Navy, 4XL",4XL,43.43
HEA.SHO003-820-5XL,"Totara Mens Healthcatre Shorts, Navy, 5XL",5XL,43.43
HEA.SHO003-820-6XL,"Totara Mens Healthcatre Shorts, Navy, 6XL",6XL,43.43
HEA.SHO003-820-7XL,"Totara Mens Healthcatre Shorts, Navy, 7XL",7XL,43.43
HEA.SHO003-820-8XL,"Totara Mens Healthcatre Shorts, Navy, 8XL",8XL,43.43
LNI.SHR011-720-XS,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size XS),XS,49.94
LNI.SHR011-720-S,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size S),S,49.94
LNI.SHR011-720-M,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size M),M,49.94
LNI.SHR011-720-L,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size L),L,49.94
LNI.SHR011-720-XL,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size XL),XL,49.94
LNI.SHR011-720-2XL,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size 2XL),2XL,49.94
LNI.SHR011-720-3XL,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size 3XL),3XL,49.94
LNI.SHR011-720-4XL,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size 4XL),4XL,49.94
LNI.SHR013-583-XS,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size XS),XS,49.94
LNI.SHR013-583-S,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size S),S,49.94
LNI.SHR013-583-M,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size M),M,49.94
LNI.SHR013-583-L,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size L),L,49.94
LNI.SHR013-583-XL,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size XL),XL,49.94
LNI.SHR013-583-2XL,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size 2XL),2XL,49.94
LNI.SHR013-583-3XL,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size 3XL),3XL,49.94
LNI.SHR013-583-4XL,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size 4XL),4XL,49.94
LNI.SHR010-830-XS,Shirt Scrub Mens Nurse V Neck Royal Elm (Size XS),XS,49.94
LNI.SHR010-830-S,Shirt Scrub Mens Nurse V Neck Royal Elm (Size S),S,49.94
LNI.SHR010-830-M,Shirt Scrub Mens Nurse V Neck Royal Elm (Size M),M,49.94
LNI.SHR010-830-L,Shirt Scrub Mens Nurse V Neck Royal Elm (Size L),L,49.94
LNI.SHR010-830-XL,Shirt Scrub Mens Nurse V Neck Royal Elm (Size XL),XL,49.94
LNI.SHR010-830-2XL,Shirt Scrub Mens Nurse V Neck Royal Elm (Size 2XL),2XL,49.94
LNI.SHR010-830-3XL,Shirt Scrub Mens Nurse V Neck Royal Elm (Size 3XL),3XL,49.94
LNI.SHR010-830-4XL,Shirt Scrub Mens Nurse V Neck Royal Elm (Size 4XL),4XL,49.94
LNI.SHR009-830-XS,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size XS),XS,49.94
LNI.SHR009-830-S,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size S),S,49.94
LNI.SHR009-830-M,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size M),M,49.94
LNI.SHR009-830-L,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size L),L,49.94
LNI.SHR009-830-XL,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size XL),XL,49.94
LNI.SHR009-830-2XL,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size 2XL),2XL,49.94
LNI.SHR009-830-3XL,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size 3XL),3XL,49.94
LNI.SHR009-830-4XL,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size 4XL),4XL,49.94
LNI.SHR012-720-XS,Shirt Scrub Mens Midwife V Neck Purple Elm (Size XS),XS,49.94
LNI.SHR012-720-S,Shirt Scrub Mens Midwife V Neck Purple Elm (Size S),S,49.94
LNI.SHR012-720-M,Shirt Scrub Mens Midwife V Neck Purple Elm (Size M),M,49.94
LNI.SHR012-720-L,Shirt Scrub Mens Midwife V Neck Purple Elm (Size L),L,49.94
LNI.SHR012-720-XL,Shirt Scrub Mens Midwife V Neck Purple Elm (Size XL),XL,49.94
LNI.SHR012-720-2XL,Shirt Scrub Mens Midwife V Neck Purple Elm (Size 2XL),2XL,49.94
LNI.SHR012-720-3XL,Shirt Scrub Mens Midwife V Neck Purple Elm (Size 3XL),3XL,49.94
LNI.SHR012-720-4XL,Shirt Scrub Mens Midwife V Neck Purple Elm (Size 4XL),4XL,49.94